Education,Income,Kidhome,Marital_Status,NumDealsPurchases,Recency,Teenhome,Year_Birth,Succesful_cmp,Months_After_2012
2,29440.0,1,3,2,95,1,1960,0,23
3,36138.0,1,3,5,48,1,1970,4,19
2,50388.0,0,0,4,3,1,1957,1,29
2,79593.0,0,3,1,70,0,1973,5,36
2,54178.0,0,2,1,79,1,1967,0,25
4,,2,3,12,4,1,1957,0,11
2,,1,0,1,45,1,1957,0,29
3,,0,2,1,87,0,1973,0,23
3,42394.0,1,0,1,69,0,1972,0,27
4,23626.0,1,3,3,84,0,1970,0,29
2,30096.0,1,3,1,30,0,1983,0,29
2,47916.0,0,1,5,72,1,1960,4,11
2,51813.0,1,1,2,37,1,1972,0,23
1,78497.0,0,3,1,44,0,1951,1,13
4,50150.0,0,3,2,32,0,1983,0,18
1,47823.0,0,0,2,0,1,1960,0,19
4,34554.0,0,0,2,43,1,1959,0,27
2,85693.0,0,2,2,59,1,1979,0,16
4,65846.0,0,3,1,68,0,1945,0,17
2,87195.0,0,3,1,35,0,1959,0,32
0,24594.0,1,2,1,94,0,1979,0,22
2,49096.0,1,3,4,15,1,1964,0,21
2,52413.0,0,3,4,56,2,1969,0,14
2,38557.0,1,0,2,17,0,1978,0,12
3,89058.0,0,3,1,18,0,1960,0,7
2,77298.0,0,2,1,46,1,1979,0,14
4,68126.0,0,0,1,40,0,1991,4,10
3,57288.0,0,2,3,27,1,1963,4,30
2,86037.0,0,0,1,95,0,1991,4,14
4,43974.0,1,3,5,19,0,1980,0,12
2,50785.0,1,0,2,27,1,1962,0,22
2,90765.0,0,3,0,25,0,1970,1,25
1,36550.0,1,3,5,74,0,1978,0,14
1,30753.0,1,2,2,85,1,1967,0,23
2,21918.0,1,2,2,37,0,1969,0,23
3,56129.0,0,2,4,65,1,1953,0,18
3,32557.0,1,0,3,13,0,1967,0,26
3,19510.0,2,3,2,63,0,1985,0,16
2,30992.0,1,1,1,83,0,1976,0,16
2,101970.0,0,0,0,69,0,1983,1,24
1,71488.0,0,2,2,87,0,1965,0,14
2,79607.0,0,0,1,37,0,1984,0,16
3,54348.0,1,3,2,51,1,1953,0,32
4,,0,3,3,23,1,1961,0,23
4,77376.0,1,2,4,72,1,1956,0,34
2,62998.0,0,3,5,10,1,1952,0,21
3,61331.0,1,0,5,42,1,1958,0,22
2,73448.0,0,3,1,10,0,1969,0,34
2,,0,3,1,96,1,1963,0,23
4,41551.0,1,3,5,51,1,1964,0,20
4,62981.0,0,2,1,21,0,1967,4,15
0,9548.0,1,1,2,31,0,1976,0,8
4,33762.0,2,3,3,61,1,1959,0,19
4,35860.0,1,0,2,37,1,1973,3,29
4,36921.0,1,1,2,74,1,1965,0,19
3,92859.0,0,0,1,46,0,1992,0,10
3,65104.0,0,2,2,4,1,1976,0,23
2,86111.0,0,3,1,73,0,1962,0,16
4,68352.0,0,0,3,47,1,1974,0,20
2,41883.0,1,2,3,13,0,1988,0,15
2,59809.0,0,3,3,36,2,1976,0,10
2,23957.0,1,3,1,47,0,1975,0,10
2,38547.0,1,2,1,49,0,1981,0,20
1,35688.0,2,3,7,94,1,1973,0,8
3,49605.0,0,3,1,65,0,1966,0,30
3,59354.0,0,3,1,59,2,1953,0,28
2,65747.0,0,3,4,96,1,1969,4,31
1,46344.0,0,2,4,28,1,1972,0,12
2,34176.0,1,0,4,12,0,1988,0,36
4,61010.0,0,2,2,57,1,1952,0,9
2,69372.0,0,2,1,10,0,1949,4,14
2,49967.0,0,0,3,4,1,1958,0,20
2,60199.0,1,0,1,49,2,1978,0,24
2,55375.0,0,2,1,3,1,1977,0,22
2,80317.0,0,0,1,64,0,1955,0,20
3,30523.0,2,0,1,0,1,1958,0,13
4,70356.0,0,3,2,20,0,1945,0,5
2,23228.0,1,3,4,91,0,1984,0,29
4,74165.0,0,1,1,9,0,1975,0,13
4,157243.0,0,3,15,98,1,1973,0,25
2,43482.0,2,2,3,83,1,1966,0,23
2,62551.0,0,1,1,27,0,1953,3,23
2,52332.0,0,1,1,63,0,1959,4,20
2,66951.0,0,0,1,46,0,1988,0,14
2,26091.0,1,2,3,84,1,1957,0,26
2,33456.0,1,2,2,58,1,1965,0,28
2,28718.0,1,3,2,78,0,1982,0,19
2,50447.0,2,3,1,4,0,1970,0,28
4,53537.0,1,2,2,17,1,1959,0,25
2,52074.0,0,0,1,77,1,1967,3,28
4,80427.0,0,3,1,56,1,1975,0,12
4,83837.0,0,3,1,79,0,1948,1,12
4,38853.0,1,3,2,90,1,1970,0,29
2,38285.0,2,2,1,96,1,1959,0,30
1,78497.0,0,3,1,44,0,1951,1,13
4,51650.0,0,3,1,81,1,1976,0,35
1,16248.0,1,3,3,77,0,1988,0,34
3,66835.0,0,3,1,21,0,1946,0,21
3,30477.0,1,3,1,16,0,1984,0,25
0,28249.0,0,3,1,80,0,1961,0,30
2,25271.0,1,3,1,45,0,1983,0,5
4,32303.0,0,0,2,63,1,1970,0,32
2,61286.0,0,3,2,34,1,1966,0,14
2,74068.0,0,3,1,14,0,1976,0,15
4,45759.0,1,3,2,13,1,1964,0,14
0,24882.0,1,2,1,52,0,1978,3,9
4,66973.0,0,2,1,98,0,1989,0,17
2,38872.0,1,3,2,93,0,1988,0,17
2,51148.0,1,3,4,38,1,1973,0,14
2,31353.0,1,3,2,24,1,1977,0,24
3,69661.0,0,3,1,80,0,1980,0,29
2,80067.0,0,3,1,82,0,1954,5,21
2,86718.0,0,3,1,20,0,1954,0,13
4,46854.0,1,0,6,81,1,1973,3,27
2,69142.0,0,1,3,50,1,1952,4,30
2,75922.0,0,0,1,60,0,1968,0,21
2,63693.0,0,1,3,63,1,1978,0,22
4,102160.0,0,2,0,54,0,1977,1,2
4,40637.0,1,0,2,72,1,1965,0,19
3,18890.0,0,0,1,5,0,1984,3,10
2,29604.0,1,2,1,88,0,1988,3,20
3,48721.0,1,1,6,50,1,1963,0,17
2,44794.0,0,3,1,99,1,1966,0,32
2,64497.0,0,1,5,17,1,1954,3,10
2,46097.0,0,2,5,11,1,1956,0,15
2,77972.0,0,2,1,18,0,1954,0,27
4,44377.0,1,3,8,70,1,1968,0,5
3,46014.0,1,2,10,21,1,1974,0,13
2,70951.0,0,3,1,66,0,1985,0,16
2,41443.0,1,3,6,79,0,1977,0,25
1,52195.0,2,0,1,2,1,1978,0,36
3,83790.0,0,3,1,81,0,1948,4,23
3,44551.0,0,1,2,24,1,1954,0,20
2,69508.0,1,2,2,48,0,1980,0,11
1,45204.0,1,2,1,93,0,1988,0,35
2,72460.0,0,3,1,56,0,1969,0,23
4,77622.0,0,2,2,3,2,1970,0,28
4,30732.0,1,3,4,44,0,1980,0,17
2,63887.0,0,1,5,38,1,1962,0,8
2,42011.0,1,2,4,46,0,1978,0,15
2,51369.0,0,2,2,84,1,1976,0,10
2,51537.0,0,1,3,27,1,1952,0,9
4,79930.0,0,3,1,72,0,1972,0,8
4,34320.0,1,2,1,66,0,1986,0,26
2,37070.0,1,0,9,30,1,1966,0,15
1,81975.0,0,1,1,2,1,1962,5,17
2,38590.0,1,2,1,65,0,1971,0,17
2,15033.0,0,0,1,37,0,1951,0,28
4,62745.0,0,3,3,89,1,1965,0,15
1,22212.0,1,3,2,49,0,1975,0,21
3,23661.0,1,2,1,46,0,1982,0,16
4,79761.0,0,0,1,32,1,1958,0,16
2,7500.0,1,0,4,54,0,1973,0,24
2,73455.0,0,1,1,98,0,1968,4,22
2,64961.0,0,2,2,97,1,1958,0,12
2,22804.0,1,0,1,75,0,1971,0,19
2,73687.0,0,3,1,8,0,1990,1,23
2,61074.0,0,3,7,37,1,1958,0,8
4,31686.0,1,3,2,31,1,1964,0,29
2,80134.0,1,3,2,40,0,1972,1,17
2,75027.0,0,3,2,74,1,1953,0,21
4,67546.0,0,3,1,90,0,1988,0,8
3,65176.0,0,2,4,57,1,1969,0,10
3,31160.0,1,0,2,59,0,1975,0,21
2,29938.0,1,0,2,52,0,1985,0,22
2,102692.0,0,1,1,5,0,1974,1,17
1,26490.0,0,2,2,92,0,1958,0,9
2,75702.0,1,2,5,77,1,1967,0,8
4,30899.0,1,0,2,35,0,1974,0,10
4,63342.0,0,2,3,48,1,1961,4,10
2,45989.0,0,0,4,97,1,1964,0,10
2,18701.0,1,0,4,95,1,1964,0,16
4,40737.0,2,0,1,24,1,1957,0,20
2,15287.0,1,1,2,60,0,1979,3,10
4,69674.0,0,1,3,46,2,1968,0,17
3,44159.0,1,3,4,85,0,1970,0,30
4,37717.0,1,3,1,31,0,1978,0,11
3,43776.0,1,2,6,9,1,1952,0,15
3,38179.0,1,3,4,30,1,1966,0,15
2,80124.0,0,3,1,47,0,1963,3,30
4,38097.0,1,3,4,70,1,1970,3,10
2,72940.0,0,3,1,13,0,1970,0,18
2,22070.0,1,2,2,11,0,1970,0,16
2,69267.0,0,0,2,31,0,1953,0,9
3,31788.0,1,0,3,15,0,1983,0,27
4,61905.0,0,2,2,2,1,1975,0,28
2,29315.0,1,3,4,55,1,1960,0,30
2,33378.0,1,1,3,38,1,1963,0,18
4,66313.0,0,2,2,86,1,1963,0,21
2,60714.0,0,0,2,56,0,1956,0,13
3,77882.0,0,2,1,29,0,1981,0,28
4,69867.0,0,0,1,30,0,1986,1,14
3,63841.0,0,1,1,64,1,1968,0,16
0,24480.0,1,3,3,46,0,1981,0,23
2,51369.0,0,2,2,84,1,1976,0,10
2,37760.0,0,2,2,20,0,1946,0,8
4,65640.0,0,2,1,74,1,1974,0,25
3,44319.0,1,3,2,18,1,1975,0,28
2,30631.0,1,3,1,75,0,1974,0,24
2,75278.0,0,2,1,17,0,1952,0,13
3,50898.0,1,2,13,88,1,1956,0,20
2,79946.0,0,1,1,19,0,1966,0,36
3,35416.0,0,1,3,62,0,1949,0,18
1,32414.0,0,2,1,11,0,1984,3,16
2,38361.0,1,2,3,74,0,1969,0,24
2,82497.0,0,3,1,32,0,1980,5,10
2,16626.0,2,2,3,76,0,1971,0,25
2,29672.0,1,2,1,6,1,1965,0,24
3,55951.0,0,2,3,62,1,1952,2,8
1,35388.0,1,1,1,20,0,1988,0,19
3,42386.0,1,2,1,43,0,1986,0,13
2,68627.0,0,0,1,45,0,1982,0,24
4,57912.0,0,1,5,34,1,1965,4,27
2,35246.0,1,1,4,53,1,1958,0,28
1,58821.0,0,2,1,44,1,1956,0,24
4,46377.0,1,3,1,89,0,1978,0,25
2,39747.0,1,0,3,43,0,1988,0,28
2,23976.0,1,2,3,68,0,1984,0,24
3,80950.0,0,3,1,44,0,1961,1,15
2,27038.0,0,1,1,64,0,1966,0,9
2,77457.0,0,0,1,85,0,1947,5,29
3,64100.0,0,3,1,93,1,1964,4,22
3,42670.0,0,2,1,12,0,1992,0,16
2,12571.0,1,1,4,86,0,1976,0,25
2,22574.0,2,3,2,28,1,1967,0,22
2,,0,3,1,69,0,1989,1,15
3,70893.0,0,0,1,42,0,1976,0,18
2,54198.0,1,3,6,13,1,1966,0,24
3,28839.0,1,2,2,86,1,1956,0,35
2,40321.0,1,3,2,59,1,1972,0,19
2,66503.0,1,0,2,30,0,1985,0,8
2,30833.0,1,3,2,33,1,1951,0,19
2,,1,0,6,67,2,1970,1,20
2,64795.0,0,3,3,23,1,1971,0,13
2,34421.0,1,3,1,81,0,1974,0,13
4,47025.0,1,1,1,6,1,1965,0,33
4,64325.0,0,1,5,41,1,1961,0,19
2,40464.0,0,0,6,78,1,1953,0,23
2,62187.0,0,3,1,49,0,1957,0,17
4,14849.0,1,1,3,39,0,1976,0,14
2,27255.0,1,3,1,3,0,1984,0,19
4,54432.0,2,3,1,37,1,1950,0,21
4,29999.0,1,0,4,22,0,1986,0,14
2,24072.0,1,0,1,79,0,1983,0,16
4,33996.0,0,0,1,46,0,1989,0,23
4,66334.0,0,3,2,82,1,1956,0,15
3,35178.0,1,3,1,10,0,1971,3,22
2,22010.0,1,2,2,51,0,1983,0,18
2,62204.0,0,1,1,38,2,1960,0,12
2,75693.0,0,1,1,10,0,1968,1,6
2,30675.0,1,3,1,14,0,1972,0,12
2,83003.0,0,2,1,18,0,1965,5,15
2,68655.0,0,0,1,95,0,1988,0,10
2,41411.0,0,1,1,11,0,1986,0,19
4,55212.0,0,3,3,65,1,1969,2,11
4,59292.0,0,2,2,71,1,1950,0,18
0,27190.0,1,2,1,13,0,1973,3,20
2,82623.0,0,1,1,58,0,1952,0,22
2,44300.0,1,3,2,65,1,1965,0,18
2,84835.0,0,1,1,0,0,1970,0,30
2,30372.0,1,1,3,33,1,1971,0,12
3,33181.0,1,3,1,90,0,1976,3,27
2,71113.0,0,3,4,95,1,1957,0,24
2,71952.0,1,3,2,93,0,1986,3,22
4,69759.0,0,0,3,38,0,1966,0,22
2,72099.0,0,3,1,18,0,1974,0,10
4,60000.0,0,0,5,57,1,1976,0,12
2,38643.0,1,0,2,45,1,1978,0,23
2,50737.0,0,3,1,61,1,1955,4,23
4,68462.0,0,3,1,6,0,1969,0,12
3,65073.0,0,3,1,65,0,1943,0,20
4,46681.0,0,2,2,52,2,1948,0,20
2,78618.0,0,3,1,87,0,1957,4,9
4,62187.0,0,1,3,38,1,1969,0,27
2,28442.0,2,3,3,53,0,1978,0,26
4,37717.0,1,3,1,31,0,1978,0,11
2,51479.0,1,3,7,67,1,1967,0,12
2,54803.0,0,0,2,65,1,1969,0,8
2,79530.0,0,3,1,64,0,1960,0,17
2,31615.0,1,1,2,82,0,1976,0,15
2,72025.0,0,2,1,27,0,1962,0,11
4,52614.0,0,0,2,63,1,1975,0,1
1,35684.0,1,3,1,66,0,1984,0,28
2,48178.0,1,3,6,69,1,1975,0,10
3,29548.0,1,0,1,52,0,1970,3,20
2,63810.0,0,0,4,45,1,1966,4,11
4,38578.0,1,0,3,2,1,1972,0,18
3,46098.0,1,0,4,86,1,1975,0,8
2,22585.0,0,0,1,23,0,1970,3,15
2,30279.0,1,0,1,13,0,1989,0,12
4,66426.0,0,2,2,14,1,1961,0,14
2,30822.0,1,0,1,92,0,1969,0,18
4,33581.0,2,3,1,38,0,1969,0,20
2,19986.0,1,3,1,74,0,1985,0,23
2,27421.0,0,1,3,14,0,1954,0,12
1,35688.0,2,3,7,94,1,1973,0,8
3,36143.0,1,0,1,33,0,1981,0,27
2,10245.0,1,0,3,32,0,1971,0,17
3,43795.0,0,2,3,11,1,1968,4,22
2,63381.0,0,2,4,78,1,1960,0,5
2,38823.0,0,2,1,56,1,1949,0,8
4,83664.0,1,1,3,57,1,1968,0,20
2,90300.0,0,2,0,7,0,1979,5,27
3,62499.0,1,2,2,0,0,1979,0,21
2,74293.0,0,0,1,66,0,1993,0,28
4,51012.0,0,3,1,86,0,1946,0,16
3,70777.0,0,3,3,80,1,1968,0,26
4,68682.0,0,2,1,56,0,1991,0,18
2,43824.0,1,3,4,18,1,1971,0,9
2,15345.0,1,2,2,51,0,1984,0,8
2,23442.0,1,0,1,71,0,1987,0,12
1,14515.0,1,2,4,71,0,1980,0,9
1,31395.0,1,1,4,80,1,1956,0,15
2,75276.0,0,2,1,2,0,1965,0,9
2,42373.0,1,0,5,83,1,1974,0,20
2,30507.0,0,2,1,29,0,1960,0,23
4,55521.0,1,0,9,11,2,1955,4,22
2,48006.0,1,3,1,55,1,1965,0,33
4,27213.0,1,0,3,19,0,1972,0,8
4,65808.0,1,1,3,1,1,1971,0,29
4,30351.0,1,2,1,19,0,1974,0,18
2,50437.0,0,3,3,28,2,1963,0,10
1,23616.0,1,0,2,76,0,1982,0,11
2,53858.0,0,3,4,50,1,1976,0,9
4,66465.0,0,3,3,1,1,1955,1,15
2,46923.0,1,0,3,90,0,1987,0,8
2,75072.0,0,2,2,83,1,1962,0,13
4,75865.0,0,3,1,73,0,1943,0,27
1,19789.0,1,2,3,24,0,1975,3,23
2,80134.0,0,2,1,11,0,1994,1,26
2,91065.0,0,0,1,33,0,1981,1,14
3,49505.0,1,3,9,4,1,1971,0,17
4,37401.0,1,3,2,14,0,1973,0,30
2,30096.0,1,3,1,30,0,1983,0,29
3,18492.0,1,2,1,75,0,1982,0,29
3,82584.0,0,3,1,26,0,1974,4,16
4,93027.0,0,3,0,77,0,1941,5,16
2,48686.0,1,3,1,8,2,1953,0,16
2,92910.0,0,3,1,42,0,1986,1,28
2,75433.0,1,3,2,28,0,1989,1,29
1,10404.0,1,2,2,52,0,1989,0,28
2,61314.0,0,3,2,1,1,1968,0,16
4,84865.0,0,0,1,1,0,1961,1,21
2,42387.0,1,3,5,42,0,1989,0,10
1,67309.0,1,2,15,76,1,1967,0,13
2,75236.0,0,3,1,27,1,1964,0,23
2,30015.0,1,0,2,28,0,1970,0,26
3,50943.0,0,2,1,49,1,1956,0,18
2,67272.0,0,1,3,12,1,1966,0,24
3,51529.0,0,1,2,14,1,1949,0,19
4,32011.0,1,3,3,89,0,1971,0,20
1,7500.0,1,3,2,96,0,1986,0,19
2,28691.0,1,3,1,56,0,1989,0,16
4,56223.0,0,3,2,72,1,1948,0,24
2,18100.0,0,3,1,14,0,1946,0,18
2,30279.0,1,0,1,13,0,1989,0,12
1,20130.0,0,3,1,99,0,1974,0,27
2,23295.0,0,1,1,72,0,1959,0,19
3,42618.0,1,1,2,92,0,1972,0,21
2,81246.0,0,0,1,87,0,1964,1,24
2,24027.0,1,3,2,7,0,1976,0,21
4,55707.0,0,3,2,91,1,1953,0,24
2,57959.0,0,0,5,71,1,1955,0,14
2,56796.0,0,3,3,24,1,1969,0,14
3,36230.0,1,0,1,17,0,1971,0,22
1,70829.0,1,3,2,87,1,1980,0,13
2,65991.0,0,3,3,21,1,1976,0,7
2,38988.0,1,3,7,90,2,1972,0,8
1,89572.0,0,0,1,44,0,1966,1,9
3,42207.0,1,3,4,71,0,1984,3,13
2,50300.0,0,3,2,52,1,1952,0,29
1,66664.0,0,2,1,78,0,1982,0,9
2,60597.0,0,3,4,2,1,1964,1,25
2,70165.0,0,1,1,60,0,1949,0,21
4,50520.0,0,1,2,25,1,1958,0,25
2,80124.0,0,3,1,47,0,1963,3,30
2,33183.0,1,3,2,46,0,1975,0,26
4,66582.0,0,0,1,83,0,1969,0,27
4,75261.0,0,2,1,17,0,1955,4,16
2,31880.0,1,1,1,13,0,1970,0,10
2,53790.0,0,3,3,86,2,1951,0,30
4,49269.0,1,2,3,92,0,1971,0,8
2,61456.0,0,3,4,47,1,1975,0,15
2,37406.0,1,3,1,18,0,1980,0,22
4,56937.0,1,2,7,81,0,1981,4,4
2,38415.0,1,3,2,91,1,1978,0,14
2,20518.0,1,0,1,58,0,1988,0,29
2,62503.0,0,3,4,40,1,1956,0,14
4,41644.0,1,0,2,67,1,1972,0,33
3,55842.0,0,3,1,19,1,1977,0,29
4,62010.0,0,3,4,93,1,1972,0,10
2,41124.0,1,3,7,41,0,1977,0,10
3,38961.0,1,3,1,60,0,1973,0,24
3,37760.0,1,1,1,54,0,1972,0,23
2,32233.0,1,0,2,26,0,1974,3,8
2,43057.0,0,3,4,30,1,1975,0,22
3,83151.0,0,2,1,93,0,1960,0,10
4,78825.0,0,1,1,35,0,1964,0,9
3,65104.0,0,2,2,4,1,1976,0,23
2,60093.0,0,3,2,92,1,1974,0,18
2,14045.0,1,3,1,24,0,1969,0,25
1,28457.0,0,1,1,96,0,1952,0,10
4,78952.0,0,2,2,11,1,1958,0,9
2,46310.0,1,1,2,99,0,1976,0,3
2,76005.0,0,2,1,72,0,1955,1,14
3,58308.0,0,0,4,77,1,1964,0,24
4,55614.0,0,1,1,85,0,1944,4,23
3,59432.0,0,1,3,88,1,1962,0,16
2,55563.0,0,1,1,22,1,1978,0,29
4,78642.0,0,2,1,83,1,1971,0,16
4,67911.0,0,2,3,63,1,1949,0,29
2,65275.0,0,3,1,9,0,1944,0,15
2,27203.0,1,2,2,92,1,1950,0,6
3,48330.0,0,2,1,2,1,1961,0,23
0,24279.0,0,3,1,6,0,1990,0,12
4,64355.0,1,3,2,66,0,1985,0,8
3,50943.0,0,2,1,49,1,1956,0,18
2,53653.0,0,1,2,29,0,1953,0,7
2,65665.0,0,3,1,77,1,1976,0,14
2,81217.0,0,0,1,77,0,1989,0,19
2,34935.0,0,3,1,71,0,1992,0,18
2,61250.0,0,1,6,49,1,1959,0,12
4,39665.0,1,2,3,97,0,1981,3,17
2,60152.0,0,0,1,6,1,1979,0,15
2,48920.0,0,3,3,93,2,1964,4,22
3,89120.0,0,2,1,78,0,1959,5,27
4,44124.0,0,2,4,62,1,1946,0,23
3,81169.0,0,0,1,47,0,1975,0,16
2,36443.0,1,3,4,9,1,1961,0,15
2,26095.0,1,0,1,77,0,1990,0,18
2,71367.0,0,2,1,24,0,1959,0,20
3,80184.0,0,3,1,19,0,1944,1,25
2,30630.0,1,1,2,67,1,1965,0,25
3,73454.0,0,0,1,95,0,1987,3,25
2,42691.0,0,3,1,48,0,1991,0,20
2,70503.0,0,3,1,73,0,1953,4,9
2,25545.0,1,3,3,35,0,1987,0,8
2,32880.0,1,3,1,76,0,1986,0,4
4,77863.0,0,2,1,20,0,1958,0,23
3,50353.0,0,3,1,72,0,1977,0,32
2,61839.0,0,0,1,20,0,1964,0,12
4,49154.0,1,3,6,69,1,1960,0,15
1,47682.0,0,1,4,80,1,1975,0,14
2,72679.0,0,0,1,65,1,1969,0,21
3,57954.0,1,2,7,52,1,1977,4,30
2,65316.0,1,3,2,65,1,1962,0,16
2,28567.0,1,0,2,57,0,1982,0,18
3,47352.0,0,2,4,70,1,1951,0,23
2,44931.0,0,2,1,0,1,1967,0,25
2,76982.0,0,1,1,19,0,1967,5,26
1,57247.0,0,2,2,50,1,1952,0,20
3,22944.0,1,0,3,67,0,1981,0,24
1,25315.0,1,2,3,46,0,1977,0,19
2,43638.0,0,1,2,37,1,1969,0,6
4,42710.0,1,0,2,38,0,1984,0,11
4,84169.0,0,3,1,9,0,1982,4,19
2,54058.0,0,2,2,56,1,1976,0,16
1,24683.0,1,3,2,98,0,1990,0,32
2,85620.0,0,1,1,68,0,1964,0,31
2,47850.0,1,3,1,72,0,1980,0,15
2,19514.0,1,3,4,47,1,1968,3,25
3,27159.0,1,3,2,33,1,1973,0,27
1,39548.0,1,0,2,87,1,1963,0,27
2,21474.0,1,0,2,0,0,1989,3,32
4,60504.0,0,0,2,73,1,1971,0,31
2,22419.0,0,3,1,74,0,1963,0,16
3,81698.0,0,3,1,4,0,1949,0,18
2,43462.0,1,2,6,50,1,1952,0,12
4,54880.0,1,0,2,57,0,1978,0,13
2,79908.0,0,3,1,30,0,1982,5,17
1,15315.0,0,3,2,27,0,1970,0,15
2,87771.0,0,2,1,61,1,1959,1,17
2,33039.0,1,3,1,4,0,1978,0,21
2,81741.0,0,0,0,75,0,1980,0,18
3,71499.0,0,2,2,12,1,1971,0,18
1,62466.0,0,3,5,13,1,1970,0,25
4,48799.0,0,1,3,9,1,1963,0,17
4,52157.0,0,2,2,48,1,1950,0,31
2,66565.0,0,0,4,80,1,1962,0,5
3,29298.0,1,2,1,60,1,1951,0,19
2,47691.0,0,0,1,43,1,1979,0,17
2,38200.0,1,2,1,19,1,1970,0,7
2,44989.0,0,3,5,26,1,1974,0,12
4,38443.0,1,3,2,58,1,1968,0,25
1,38593.0,1,0,3,42,0,1978,0,21
4,64413.0,0,2,1,27,1,1970,0,13
3,36959.0,1,3,2,56,0,1981,0,14
4,61996.0,0,3,3,27,1,1977,1,13
2,51287.0,1,3,3,10,1,1968,0,25
2,13260.0,1,3,4,48,1,1970,0,20
4,47472.0,1,2,2,39,1,1966,0,21
3,54603.0,1,2,6,85,1,1956,0,21
4,45207.0,1,3,5,64,1,1974,4,10
2,40689.0,0,2,7,69,1,1951,0,15
1,47821.0,1,2,1,54,1,1967,0,22
